Ball of foot m,Bridge m,Heel m,Calf m,Inner shin m,Outer shin m,acc x m,acc y m,acc z m,gyro x m,gyro y m,gyro z m,Ball of foot s,Bridge s,Heel s,Calf s,Inner shin s,Outer shin s,acc x s,acc y s,acc z s,gyro x s,gyro y s,gyro z s
470,510,509,509,439,388,-256,-168,236,-562,-2182,-731,512,508,504,461,461,489,320,-644,-256,1930,1857,2893
497,510,509,509,444,395,-108,-68,32,-787,-2428,2183,512,508,503,461,462,488,348,360,96,596,1558,2112
507,510,509,509,443,390,-268,-176,272,-984,-259,1513,512,508,505,461,461,490,192,-28,-244,306,837,680
507,510,509,509,442,389,-216,-284,92,-1166,-580,559,513,508,506,461,457,498,492,-284,-8,-471,2641,3474
505,510,509,509,438,413,-176,-216,412,-655,-1929,1597,513,508,506,462,456,501,256,232,228,1403,1788,2653
508,510,509,509,445,411,32,-40,212,-743,-1084,3263,513,508,504,463,462,500,312,236,32,1368,865,2412
506,510,509,509,444,411,-208,-208,188,-2280,1045,1910,513,508,503,461,470,500,204,180,168,1755,233,2137
500,510,509,508,444,402,-312,-288,120,-2147,1083,349,513,508,503,461,466,502,220,-68,172,2353,-1401,862
497,510,509,508,435,402,24,-164,68,-1056,1644,2427,513,508,504,466,466,503,276,44,-4,2022,-1890,1300
497,510,509,508,437,419,-252,-48,192,-1964,-388,100,513,508,504,464,466,503,168,184,100,1922,803,896
473,510,509,509,428,417,-208,-8,-84,-735,-350,1849,513,508,504,464,462,504,388,100,212,2447,-1385,1130
474,510,509,509,436,419,-168,-212,176,-1028,-374,2972,513,508,505,466,461,503,528,272,272,2519,-2962,487
463,510,509,509,437,419,-236,-144,176,-1340,372,3121,513,508,504,466,464,501,72,-156,24,2625,-2380,-940
472,509,509,509,443,414,-136,-132,80,-1972,1226,2681,513,508,504,465,464,501,268,192,312,2681,-3636,-768
493,509,509,509,436,394,-296,-184,24,-2247,1698,749,513,508,505,467,467,502,252,48,32,2972,-3828,-1097
506,509,509,509,436,401,-260,-60,108,-3222,2480,-364,513,508,504,465,465,503,144,-4,316,3360,-4497,-3547
508,509,509,509,449,402,132,-52,-4,-3930,10290,613,513,508,506,466,460,505,244,336,-88,1018,-6736,-4151
508,509,509,509,461,365,-336,192,-36,215,5252,2945,513,508,505,471,460,506,1072,-112,-320,-609,-6683,-3024
508,510,509,509,465,373,208,-140,180,1870,9531,-483,511,508,506,468,462,504,360,-84,12,-594,-5595,-2825
508,510,509,508,470,383,-264,-220,244,118,5163,-3486,504,508,505,472,459,494,308,-4,-260,402,-3945,-1817
508,510,509,508,470,394,-192,-80,188,-152,1461,-1969,509,508,503,468,458,495,116,72,76,-896,-2918,-1280
509,510,509,509,472,408,-216,-188,200,55,2111,-3580,512,508,501,464,455,502,244,8,100,-2339,-1782,1690
509,510,509,508,471,419,124,-156,4,823,2585,8,508,508,494,464,453,499,232,-28,32,-1977,-853,606
509,510,509,508,474,414,-200,-176,268,507,2420,-1097,512,508,489,463,450,499,104,-20,40,-1262,-1410,243
509,510,509,508,474,409,-396,-248,60,1496,1999,890,512,508,490,463,449,500,300,-72,192,-1345,-1555,217
509,510,509,508,474,409,-152,-168,136,274,894,-626,512,508,492,463,450,499,20,168,-224,-1176,-1955,-210
509,510,509,508,475,407,-176,-60,168,1490,1862,309,513,508,490,463,457,497,712,-476,-136,-1512,-1476,-357
509,510,509,508,474,409,-272,-236,24,2375,3572,1631,508,508,491,461,457,491,-52,412,144,-345,-2270,-1658
509,510,509,508,469,413,-112,-148,260,1885,2663,780,500,508,489,464,429,488,496,-8,36,-1025,-3530,-754
509,510,509,507,472,409,-324,-168,232,2032,3451,3080,494,508,487,460,410,478,184,612,340,-1442,-3315,1207
509,510,509,508,465,398,-228,-304,112,1728,1393,-320,490,509,485,460,398,484,380,-64,332,-2484,-3579,2714
509,510,509,509,465,397,-268,-200,224,2220,2370,1893,493,509,482,461,409,492,420,368,-152,-2108,-2684,1951
509,509,509,508,468,388,-144,-248,128,3545,2539,3357,503,508,487,461,424,496,400,228,76,-3442,273,2688
509,510,509,508,483,362,-132,-252,80,3030,1805,6042,509,509,493,461,435,499,16,720,-52,-4019,1234,4536
509,510,509,508,477,348,-376,-148,204,5052,-3,5926,512,508,496,468,467,503,212,68,308,-2615,-2095,3816
509,510,509,508,480,349,-408,-220,132,1792,-1104,-1122,512,508,496,476,477,505,984,92,268,-2083,367,3282
509,510,509,508,475,350,-144,-288,72,4566,-6544,-2597,503,508,494,474,471,502,-12,64,448,-2429,2053,1084
509,510,509,509,466,351,-148,-112,188,4820,-5451,166,510,508,494,472,470,505,416,56,-128,-4223,4874,5844
509,510,509,509,458,351,-228,12,260,5159,-11057,3483,512,508,497,475,488,505,92,200,244,-3436,2935,4872
509,510,509,509,450,352,-176,-40,196,2132,-7788,582,513,508,496,477,486,509,136,216,16,-411,6775,2840
509,510,509,509,446,351,-396,-4,136,221,-7840,2841,513,508,496,479,485,509,384,128,-136,374,7230,3139
507,510,509,509,444,347,-36,40,-12,707,-2545,3148,512,508,499,478,477,500,-616,536,248,2096,5563,-223
498,510,509,509,440,349,-492,200,344,1973,-7922,-1001,506,508,498,479,472,489,244,632,48,1860,1394,446
487,510,509,509,440,352,4,16,-36,-13,-432,2104,507,508,499,474,469,487,228,-92,-120,854,2564,2735
483,510,509,509,437,349,-100,-192,364,-1458,-3570,71,512,508,498,470,469,490,168,40,-84,944,5502,2669
437,510,509,509,440,366,-152,-248,144,-857,-2564,-5204,513,508,497,472,469,495,44,460,204,1752,2436,2346
446,509,509,509,440,407,-412,-236,196,-679,-1720,1703,513,508,498,473,472,493,280,172,164,2674,401,2253
480,510,509,509,449,410,-272,-112,56,-919,756,4625,513,508,500,472,464,495,220,124,56,1939,-214,1105
483,509,509,509,452,406,-96,-128,-4,-348,-1735,1760,512,508,498,474,463,493,300,116,-48,1697,-2570,-393
455,510,509,509,433,403,-204,-132,144,-1651,-355,-2610,513,508,503,474,464,495,240,180,212,369,2446,2471
489,510,509,509,437,424,-376,-272,264,480,-2996,1466,513,508,503,472,462,507,-144,280,-12,497,2970,5474
495,509,509,509,436,425,-212,-200,216,-260,-420,4319,512,508,501,475,469,505,224,-60,-52,1592,152,622
495,510,509,508,439,423,-92,-224,272,-292,-1361,2766,510,508,500,474,470,503,244,136,156,1792,739,2755
478,510,509,509,432,419,-188,-176,-4,-953,1989,4645,510,508,501,473,469,505,248,260,120,2194,641,3055
467,510,509,508,445,426,76,-220,76,-341,510,2660,513,508,501,474,469,505,156,336,-12,1337,2954,4236
422,510,509,508,434,423,-304,-496,148,-243,-2088,-4351,512,508,503,476,468,509,152,-12,4,1018,2525,3505
320,509,509,508,422,453,-144,-40,40,-821,231,3907,512,508,503,474,470,510,160,212,176,1462,-1031,3271
357,509,509,508,446,463,-148,-216,-28,-715,796,4995,513,508,500,475,484,506,268,596,72,2948,-347,-1319
359,509,509,507,434,459,-256,-92,132,-789,573,2702,513,508,502,475,485,509,76,72,12,1617,190,3414
332,510,509,507,430,454,-344,-316,292,-1647,533,2870,513,508,499,471,481,506,612,116,112,3366,-4513,1703
375,510,509,508,430,452,-200,-136,36,-1390,1420,4211,513,508,500,471,479,507,96,-48,76,3796,-5415,-605
489,510,509,508,441,374,-104,-184,24,-3206,4528,4171,513,508,501,472,480,507,216,-352,40,2656,-6348,-2984
