Ball of foot m,Bridge m,Heel m,Calf m,Inner shin m,Outer shin m,acc x m,acc y m,acc z m,gyro x m,gyro y m,gyro z m,Ball of foot s,Bridge s,Heel s,Calf s,Inner shin s,Outer shin s,acc x s,acc y s,acc z s,gyro x s,gyro y s,gyro z s
480.44,463.88,313.26,487.88,201.06,260.55,254.51,63.053,39.032,-172.41,-690.32,-150.79,481.2,493.72,502.76,415.72,338.29,349.54,224.78,15.767,-104.88,420.99,-511.02,1045.7
484.51,466.3,305.3,487.84,201.28,260.46,267.27,72.668,27.71,-231.65,-818.63,-92.001,479.39,493.33,502.77,416.38,333.5,349.84,234.39,32.4,-105.27,244.21,-335.51,989.21
488.45,468.76,298.03,487.79,201.53,260.38,279.22,87.699,15.335,-318.53,-993.91,-25.182,477.6,492.93,502.77,417.1,327.4,350.29,245.32,47.252,-106.27,-3.9545,-225.47,1018
492.21,471.21,291.52,487.73,201.82,260.28,288.02,102.66,6.1725,-453.78,-1213.4,48.83,475.86,492.51,502.77,417.86,320.09,350.89,256.81,55.381,-107.61,-308,-183.86,1125
495.76,473.64,285.81,487.66,202.13,260.19,291.62,113.19,1.8895,-649.51,-1460,128.68,474.15,492.07,502.77,418.66,311.64,351.59,267.37,53.057,-109.17,-637.31,-199.74,1286.6
499.07,476.01,280.94,487.58,202.46,260.09,289.03,117.39,1.5402,-906.92,-1704.8,211.44,472.48,491.62,502.75,419.49,302.19,352.4,274.96,39.451,-110.48,-951.54,-252.66,1468.3
502.1,478.3,276.94,487.49,202.82,259.99,280.84,116.17,2.6624,-1214.7,-1911.3,291.75,470.85,491.15,502.74,420.32,291.86,353.27,277.59,17.67,-110.47,-1208.1,-318.06,1631.8
504.84,480.48,273.83,487.38,203.2,259.88,269.22,112.68,2.9405,-1549.1,-2041.9,361.48,469.27,490.68,502.72,421.16,280.77,354.2,274.11,-5.5033,-107.54,-1370.4,-372.62,1741.6
507.28,482.52,271.6,487.26,203.6,259.77,257.31,110.88,1.6229,-1875.3,-2064.5,410.66,467.74,490.2,502.69,421.99,269.06,355.15,264.97,-21.419,-100.21,-1414.7,-398.53,1772.6
509.4,484.42,270.26,487.14,204.02,259.66,248.19,113.81,-0.013681,-2152.4,-1960.2,429.55,466.26,489.72,502.66,422.8,256.89,356.12,252.43,-22.445,-87.905,-1335.6,-385.99,1713.5
511.21,486.16,269.79,487,204.46,259.54,243.67,122.09,0.61169,-2339.9,-1728.7,411.79,464.84,489.24,502.63,423.59,244.39,357.08,239.99,-4.8936,-71.631,-1147.6,-334.07,1569.9
512.72,487.72,270.16,486.86,204.91,259.41,243.56,133.35,5.8283,-2407,-1392.8,357.75,463.49,488.76,502.6,424.35,231.7,358.02,231.35,29.186,-54.229,-884.03,-249.83,1363.1
513.92,489.1,271.33,486.7,205.37,259.28,245.75,143,16.099,-2340.4,-997.53,277.04,462.2,488.28,502.57,425.08,218.96,358.93,229.12,72.115,-39.892,-591.63,-146.37,1127.9
514.84,490.3,273.27,486.54,205.84,259.15,247.19,146.14,29.163,-2150.5,-606.18,189.14,461,487.82,502.53,425.76,206.31,359.8,233.91,112.6,-33.018,-324.14,-40.252,907.73
515.49,491.3,275.92,486.37,206.32,259.01,245.43,140,40.41,-1872.5,-290.58,121.44,459.89,487.36,502.49,426.4,193.87,360.61,244.14,138.98,-36.619,-133.89,51.204,748.52
515.9,492.13,279.24,486.2,206.82,258.87,240.08,125.82,44.455,-1561.9,-118.49,104.68,458.87,486.92,502.46,426.99,181.74,361.38,256.44,142.67,-50.796,-63.971,112.62,692.2
516.09,492.79,283.16,486.02,207.31,258.72,233.45,109.24,37.328,-1284.6,-139.49,166.34,457.96,486.5,502.42,427.53,170.04,362.09,266.58,120.62,-71.901,-141.53,132.88,769.48
516.08,493.28,287.63,485.84,207.81,258.57,230.14,98.629,18.427,-1103.7,-372.79,323.47,457.17,486.1,502.38,428.02,158.85,362.75,270.59,76.248,-92.991,-373.38,107.01,993.73
515.9,493.62,292.57,485.66,208.32,258.42,235.63,101.87,-8.6565,-1065.1,-799.78,576.52,456.51,485.72,502.34,428.46,148.24,363.36,265.77,18.588,-105.73,-744.42,37.298,1356.7
